empresa;metrica;valor
001;MAPE;19.045897885215695
001;MAE;0.11206585721383366
001;RMSE;0.13980543716755373
001;sMAPE;19.157395593530506
001;Bias;-0.00937775057832333
001;R2;-0.06736419412929928
001;forecast_horizon;30.0
003;MAPE;15.733316428504335
003;MAE;0.10551130810363676
003;RMSE;0.1499775601985927
003;sMAPE;17.380123253525532
003;Bias;-0.00858163426093132
003;R2;-0.109626809447958
003;forecast_horizon;30.0
032;MAPE;15.877370713812436
032;MAE;0.10044651885713277
032;RMSE;0.1453339962480047
032;sMAPE;15.04895145872043
032;Bias;0.029577625919979592
032;R2;-0.2571411731283588
032;forecast_horizon;30.0
040;MAPE;10.668675519700347
040;MAE;0.08179176893686027
040;RMSE;0.12129813270877315
040;sMAPE;11.565463218716026
040;Bias;-0.007625524858190834
040;R2;-0.1652417199592786
040;forecast_horizon;30.0
052;MAPE;25.43299261550128
052;MAE;0.17884316737715988
052;RMSE;0.25883452409041685
052;sMAPE;36.8143658211844
052;Bias;0.028174601511344377
052;R2;-0.21168744281971796
052;forecast_horizon;30.0
