data;volume_Quantidade
2025-09-28;3.6264703503484856
2025-09-29;4.3330992846880605
2025-09-30;4.014726830584496
2025-10-01;2.6860824819189784
2025-10-02;2.912417895249483
2025-10-03;2.809259770148701
2025-10-04;3.9410247139466783
2025-10-05;2.0755526222582112
2025-10-06;4.884072160544055
2025-10-07;6.166877598216004
2025-10-08;4.950724025156912
2025-10-09;5.716550252893202
2025-10-10;6.944994246665594
2025-10-11;7.486182445199956
2025-10-12;2.472624521084642
2025-10-13;4.201581589148014
2025-10-14;5.2524405972513115
2025-10-15;4.401218760261698
2025-10-16;6.378538389638159
2025-10-17;4.4948679231494175
2025-10-18;3.9659376170487413
2025-10-19;2.7298738937334743
2025-10-20;3.7614166223941865
2025-10-21;4.372537976530586
2025-10-22;4.816228485333883
2025-10-23;6.711193462577457
2025-10-24;5.580918136498363
2025-10-25;5.103734997307394
2025-10-26;6.004771282962238
2025-10-27;5.082033981000853
