metrica;valor;forecast_horizon
MAPE;20.321551146702717;90
MAE;0.22817962508155182;90
RMSE;0.4620776754235161;90
sMAPE;139.10758217078782;90
Bias;0.04998010603406054;90
R2;0.19182610388825655;90
forecast_horizon;90.0;90
