empresa;MAPE;MAE;RMSE;sMAPE;R2;Bias;forecast_horizon
001;19.907592362608256;0.13115575191660767;0.16079279300768531;21.847094206641966;-0.8421630161050784;-0.0860099614326659;30.0
003;6.851132869519464;0.05815024690403472;0.07454950465520205;7.116896509445919;-0.7974465693923265;-0.04057798345201001;30.0
004;9.208716601881884;0.08119093871623728;0.11802509587168172;10.579034007596157;-0.2540293317630071;-0.034461451593793845;30.0
005;6.679866547165134;0.05692742041522404;0.07032820776384946;6.904059251242026;-0.39970041480279495;-0.03647731262487926;30.0
006;8.440198386512611;0.06572732413967063;0.08387918234264556;8.582427758820725;-0.2682919616382058;-0.0342465001319329;30.0
007;9.925793889521133;0.08148052677054338;0.09756103461462289;10.461870832480944;-0.7040740420329257;-0.06707994964401504;30.0
010;12.464310700397116;0.09444876241229866;0.11752656516998454;12.60861125307805;-0.44775062343198546;-0.040465838116988895;30.0
019;15.150538354075158;0.0988060418802075;0.12976072275430237;13.586739104261943;-0.21789294857845953;-0.03255606063196711;30.0
