empresa;metrica;valor
001;MAPE;19.698251861240454
001;MAE;0.12784338900545023
001;RMSE;0.15572699103753854
001;sMAPE;21.373586732104275
001;Bias;-0.07737082297616826
001;R2;-0.7399709928809151
001;forecast_horizon;30.0
003;MAPE;6.685131325877439
003;MAE;0.05708003198432609
003;RMSE;0.0734677890736203
003;sMAPE;6.977514195717557
003;Bias;-0.04234048362536651
003;R2;-0.9234107426238909
003;forecast_horizon;30.0
004;MAPE;9.119636882871845
004;MAE;0.0813029210471307
004;RMSE;0.12015254833674859
004;sMAPE;10.44021645947339
004;Bias;-0.03716421630847844
004;R2;-0.25654537754287743
004;forecast_horizon;30.0
005;MAPE;6.457927135881654
005;MAE;0.055063529786339376
005;RMSE;0.07001611917404935
005;sMAPE;6.674938871294168
005;Bias;-0.034252470649736765
005;R2;-0.38303549697897465
005;forecast_horizon;30.0
006;MAPE;7.8885958011829125
006;MAE;0.06178319183765227
006;RMSE;0.07720487666798309
006;sMAPE;8.068609035849097
006;Bias;-0.030169835929214458
006;R2;-0.1817717288614864
006;forecast_horizon;30.0
007;MAPE;10.046757680990202
007;MAE;0.08230898986047638
007;RMSE;0.09833802780168177
007;sMAPE;10.588808808523693
007;Bias;-0.06781920377864242
007;R2;-0.7821434376556851
007;forecast_horizon;30.0
010;MAPE;12.303427196255235
010;MAE;0.09686883297111835
010;RMSE;0.12068287180027985
010;sMAPE;12.511812567696694
010;Bias;-0.04432451197805279
010;R2;-0.5415312855384184
010;forecast_horizon;30.0
019;MAPE;14.771993630679809
019;MAE;0.09619172212428072
019;RMSE;0.12638778028956763
019;sMAPE;13.272549125208313
019;Bias;-0.027879076903027343
019;R2;-0.199787854314476
019;forecast_horizon;30.0
