data;volume_historico
2023-10-05;84.0
2023-10-06;51.0
2023-10-07;65.0
2023-10-08;17.0
2023-10-09;59.0
2023-10-10;151.29999999999995
2023-10-11;132.0
2023-10-12;17.0
2023-10-13;127.0
2023-10-14;49.0
2023-10-15;13.0
2023-10-16;5.0
2023-10-17;63.0
2023-10-18;70.0
2023-10-19;87.0
2023-10-20;84.0
2023-10-21;67.0
2023-10-22;11.0
2023-10-23;84.0
2023-10-24;54.0
2023-10-25;97.0
2023-10-26;66.0
2023-10-27;60.0
2023-10-28;75.0
2023-10-29;19.0
2023-10-30;64.0
2023-10-31;95.0
2023-11-01;38.0
2023-11-02;6.0
2023-11-03;95.0
2023-11-04;57.0
2023-11-05;22.0
2023-11-06;61.0
2023-11-07;87.0
2023-11-08;66.0
2023-11-09;70.0
2023-11-10;74.0
2023-11-11;50.0
2023-11-12;11.0
2023-11-13;83.0
2023-11-14;65.0
2023-11-15;12.0
2023-11-16;83.0
2023-11-17;60.0
2023-11-18;60.0
2023-11-19;23.0
2023-11-20;
2023-11-21;103.0
2023-11-22;61.0
2023-11-23;97.0
2023-11-24;106.0
2023-11-25;90.0
2023-11-26;6.0
2023-11-27;75.0
2023-11-28;104.0
2023-11-29;94.0
2023-11-30;89.0
2023-12-01;86.0
2023-12-02;123.0
2023-12-03;30.0
2023-12-04;89.0
2023-12-05;120.0
2023-12-06;118.0
2023-12-07;138.0
2023-12-08;116.0
2023-12-09;146.0
2023-12-10;16.0
2023-12-11;151.29999999999995
2023-12-12;101.0
2023-12-13;148.0
2023-12-14;151.29999999999995
2023-12-15;151.29999999999995
2023-12-16;151.0
2023-12-17;60.0
2023-12-18;151.29999999999995
2023-12-19;151.29999999999995
2023-12-20;151.29999999999995
2023-12-21;151.29999999999995
2023-12-22;151.29999999999995
2023-12-23;151.29999999999995
2023-12-24;151.29999999999995
2023-12-25;
2023-12-26;134.0
2023-12-27;107.0
2023-12-28;137.0
2023-12-29;124.0
2023-12-30;14.0
2023-12-31;
2024-01-01;
2024-01-02;63.0
2024-01-03;70.0
2024-01-04;66.0
2024-01-05;55.0
2024-01-06;60.0
2024-01-07;8.0
2024-01-08;82.0
2024-01-09;64.0
2024-01-10;68.0
2024-01-11;93.0
2024-01-12;85.0
2024-01-13;34.0
2024-01-14;10.0
2024-01-15;25.0
2024-01-16;84.0
2024-01-17;49.0
2024-01-18;65.0
2024-01-19;63.0
2024-01-20;43.0
2024-01-21;14.0
2024-01-22;66.0
2024-01-23;57.0
2024-01-24;86.0
2024-01-25;120.0
2024-01-26;64.0
2024-01-27;41.0
2024-01-28;8.0
2024-01-29;73.0
2024-01-30;117.0
2024-01-31;106.0
2024-02-01;60.0
2024-02-02;73.0
2024-02-03;70.0
2024-02-04;6.0
2024-02-05;88.0
2024-02-06;69.0
2024-02-07;73.0
2024-02-08;45.0
2024-02-09;36.0
2024-02-10;21.0
2024-02-11;
