data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-08-27;9042.28;historico;0;9042.28
2025-08-28;45300.45;historico;0;54342.729999999996
2025-08-29;8204.98;historico;0;62547.70999999999
2025-08-30;0.0;historico;0;62547.70999999999
2025-08-31;0.0;historico;0;62547.70999999999
2025-09-01;4601.1;historico;0;67148.81
2025-09-02;56481.13;historico;0;123629.94
2025-09-03;17029.53;historico;0;140659.47
2025-09-04;279.1;historico;0;140938.57
2025-09-05;0.0;historico;0;140938.57
2025-09-06;0.0;historico;0;140938.57
2025-09-07;0.0;historico;0;140938.57
2025-09-08;423.07;historico;0;141361.64
2025-09-09;123338.1;historico;0;264699.74
2025-09-10;267416.6;historico;0;532116.34
2025-09-11;123274.35;historico;0;655390.69
2025-09-12;139195.8;historico;0;794586.49
2025-09-13;0.0;historico;0;794586.49
2025-09-14;0.0;historico;0;794586.49
2025-09-15;191739.25;historico;0;986325.74
2025-09-16;180207.01;historico;0;1166532.75
2025-09-17;44732.43;historico;0;1211265.18
2025-09-18;49997.38;historico;0;1261262.5599999998
2025-09-19;161021.98;historico;0;1422284.5399999998
2025-09-20;0.0;historico;0;1422284.5399999998
2025-09-21;0.0;historico;0;1422284.5399999998
2025-09-22;268598.45;historico;0;1690882.9899999998
2025-09-23;61099.59;historico;0;1751982.5799999998
2025-09-24;36105.63;historico;0;1788088.2099999997
2025-09-25;122797.96;historico;0;1910886.1699999997
2025-09-26;94338.47;historico;0;2005224.6399999997
2025-09-27;9226.23290908265;previsao;30;2014450.8729090823
2025-09-27;9226.23290908265;previsao;90;2014450.8729090823
2025-09-27;9226.23290908265;previsao;60;2014450.8729090823
2025-09-28;9226.23290908265;previsao;30;2023677.105818165
2025-09-28;9226.23290908265;previsao;90;2023677.105818165
2025-09-28;9226.23290908265;previsao;60;2023677.105818165
2025-09-29;9286.89757278714;previsao;90;2032964.0033909522
2025-09-29;9286.89757278714;previsao;30;2032964.0033909522
2025-09-29;9286.89757278714;previsao;60;2032964.0033909522
2025-09-30;9286.89757278714;previsao;60;2042250.9009637395
2025-09-30;9286.89757278714;previsao;30;2042250.9009637395
2025-09-30;9286.89757278714;previsao;90;2042250.9009637395
2025-10-01;9286.89757278714;previsao;60;2051537.7985365267
2025-10-01;9286.89757278714;previsao;90;2051537.7985365267
2025-10-01;9286.89757278714;previsao;30;2051537.7985365267
2025-10-02;9286.89757278714;previsao;30;2060824.696109314
2025-10-02;9286.89757278714;previsao;60;2060824.696109314
2025-10-02;9286.89757278714;previsao;90;2060824.696109314
2025-10-03;9226.23290908265;previsao;60;2070050.9290183967
2025-10-03;9226.23290908265;previsao;90;2070050.9290183967
2025-10-03;9226.23290908265;previsao;30;2070050.9290183967
2025-10-04;7250.4486026211935;previsao;60;2077301.3776210179
2025-10-04;7250.4486026211935;previsao;30;2077301.3776210179
2025-10-04;7250.4486026211935;previsao;90;2077301.3776210179
2025-10-05;5343.637694780909;previsao;90;2082645.0153157988
2025-10-05;5343.637694780909;previsao;60;2082645.0153157988
2025-10-05;5343.637694780909;previsao;30;2082645.0153157988
2025-10-06;7250.4486026211935;previsao;90;2089895.46391842
2025-10-06;7250.4486026211935;previsao;30;2089895.46391842
2025-10-06;7250.4486026211935;previsao;60;2089895.46391842
2025-10-07;7250.4486026211935;previsao;30;2097145.9125210412
2025-10-07;7250.4486026211935;previsao;90;2097145.9125210412
2025-10-07;7250.4486026211935;previsao;60;2097145.9125210412
2025-10-08;9226.23290908265;previsao;90;2106372.145430124
2025-10-08;9226.23290908265;previsao;30;2106372.145430124
2025-10-08;9226.23290908265;previsao;60;2106372.145430124
2025-10-09;9226.23290908265;previsao;90;2115598.3783392063
2025-10-09;9226.23290908265;previsao;30;2115598.3783392063
2025-10-09;9226.23290908265;previsao;60;2115598.3783392063
2025-10-10;9226.23290908265;previsao;90;2124824.611248289
2025-10-10;9226.23290908265;previsao;60;2124824.611248289
2025-10-10;9226.23290908265;previsao;30;2124824.611248289
2025-10-11;9226.23290908265;previsao;30;2134050.844157371
2025-10-11;9226.23290908265;previsao;60;2134050.844157371
2025-10-11;9226.23290908265;previsao;90;2134050.844157371
2025-10-12;9226.23290908265;previsao;60;2143277.0770664536
2025-10-12;9226.23290908265;previsao;30;2143277.0770664536
2025-10-12;9226.23290908265;previsao;90;2143277.0770664536
2025-10-13;9286.89757278714;previsao;30;2152563.9746392407
2025-10-13;9286.89757278714;previsao;60;2152563.9746392407
2025-10-13;9286.89757278714;previsao;90;2152563.9746392407
2025-10-14;9286.89757278714;previsao;30;2161850.8722120277
2025-10-14;9286.89757278714;previsao;60;2161850.8722120277
