data;volume_Quantidade
2025-09-28;15.88666347196272
2025-09-29;9.306738926359237
2025-09-30;8.589799514885414
2025-10-01;12.080347250398049
2025-10-02;5.43363758107418
2025-10-03;9.62007630459
2025-10-04;5.4448030392319
2025-10-05;6.523987441350364
2025-10-06;0.0
2025-10-07;7.813725090811474
2025-10-08;15.143384783935716
2025-10-09;9.080619327450343
2025-10-10;9.880847448763653
2025-10-11;11.036656990675837
2025-10-12;6.693246111627232
2025-10-13;1.3579331042366078
2025-10-14;5.914456563520162
2025-10-15;4.37229903519907
2025-10-16;6.307142471063337
2025-10-17;7.3184612059734135
2025-10-18;8.406614698352236
2025-10-19;7.748598622103053
2025-10-20;8.072381662697474
2025-10-21;9.952161859901594
2025-10-22;14.581811740717612
2025-10-23;6.822568849723318
2025-10-24;10.35843954564357
2025-10-25;1.361102461870452
2025-10-26;12.54729201241922
2025-10-27;8.349103344942392
