data;volume_Quantidade
2025-10-04;8.547519666778784
2025-10-05;11.317467956024661
2025-10-06;19.312220677492192
2025-10-07;12.349989997109013
2025-10-08;17.866322144278662
2025-10-09;27.122987017613813
2025-10-10;18.626155287727922
2025-10-11;12.563137565251589
2025-10-12;17.141487616654793
2025-10-13;16.884214459551284
2025-10-14;20.703555621403986
2025-10-15;23.370101180376807
2025-10-16;22.02339879437675
2025-10-17;10.965881704160067
2025-10-18;8.165520924804532
2025-10-19;11.612702897288006
2025-10-20;8.504788637075526
2025-10-21;11.54021880105485
2025-10-22;16.89174594844372
2025-10-23;10.78833463550874
2025-10-24;10.270401403864849
2025-10-25;6.235255921200878
2025-10-26;6.516975369017024
2025-10-27;12.941234135015273
2025-10-28;16.23183975296441
2025-10-29;20.19947669361264
2025-10-30;14.045995923029869
2025-10-31;15.787060293757861
2025-11-01;17.433554494883424
2025-11-02;19.177734008535634
