empresa;metrica;valor
BB;MAPE;8.16029641034359
BB;MAE;0.06350162120454271
BB;RMSE;0.07851885174847587
BB;sMAPE;7.918716357430853
BB;Bias;0.009630558995342226
BB;R2;-0.252857143610546
BB;forecast_horizon;30.0
BG;MAPE;19.06271262565381
BG;MAE;0.11896444256659357
BG;RMSE;0.1834821988253173
BG;sMAPE;19.62873342883704
BG;Bias;0.04502835059402334
BG;R2;-0.15824176569965265
BG;forecast_horizon;30.0
BZ;MAPE;19.942936950811067
BZ;MAE;0.1500456186943789
BZ;RMSE;0.21625166175852137
BZ;sMAPE;27.657934248886335
BZ;Bias;0.004891194052357233
BZ;R2;-0.043552031478279574
BZ;forecast_horizon;30.0
CA;MAPE;10.191320686799084
CA;MAE;0.07716417540472481
CA;RMSE;0.12387880005980913
CA;sMAPE;10.692019898473076
CA;Bias;0.002212546926889372
CA;R2;-0.2531983637552744
CA;forecast_horizon;30.0
JB;MAPE;18.68224385306855
JB;MAE;0.12055994909971522
JB;RMSE;0.17195192353268143
JB;sMAPE;18.9141809496434
JB;Bias;0.03370683188208173
JB;R2;-0.2191318334145338
JB;forecast_horizon;30.0
JK;MAPE;9.05415052531204
JK;MAE;0.06982746733615457
JK;RMSE;0.08789936930963528
JK;sMAPE;9.01601086524251
JK;Bias;-0.008460077780696363
JK;R2;-0.24347100436474234
JK;forecast_horizon;30.0
LD;MAPE;18.88023151946132
LD;MAE;0.11192522044959366
LD;RMSE;0.1501838586418864
LD;sMAPE;16.20278917973669
LD;Bias;0.01960491925281439
LD;R2;-0.2089613785305704
LD;forecast_horizon;30.0
MA;MAPE;19.555220284024358
MA;MAE;0.12125433356110693
MA;RMSE;0.1671991432274479
MA;sMAPE;19.593566560429384
MA;Bias;0.026969748545783413
MA;R2;-0.0772351194523131
MA;forecast_horizon;30.0
MT;MAPE;14.78944923869715
MT;MAE;0.11267533935470617
MT;RMSE;0.1796776803859408
MT;sMAPE;18.1449155343222
MT;Bias;0.04506644822268416
MT;R2;-0.08799950753476526
MT;forecast_horizon;30.0
PB;MAPE;6.939292978371459
PB;MAE;0.055017862701264166
PB;RMSE;0.07062269631977967
PB;sMAPE;6.673090255606608
PB;Bias;0.018767161878085775
PB;R2;-0.17697134443786178
PB;forecast_horizon;30.0
PO;MAPE;12.270035444570528
PO;MAE;0.08989606030361237
PO;RMSE;0.12949771011870273
PO;sMAPE;12.626777630969137
PO;Bias;-0.003468643044986751
PO;R2;-0.026408533848906846
PO;forecast_horizon;30.0
TH;MAPE;9.43077284008518
TH;MAE;0.06020814429068883
TH;RMSE;0.09268767061541204
TH;sMAPE;7.804644479457292
TH;Bias;0.009030540013988292
TH;R2;-0.2440617985824758
TH;forecast_horizon;30.0
XV;MAPE;18.141068352915525
XV;MAE;0.12684908727176808
XV;RMSE;0.20192364865197024
XV;sMAPE;20.179752995165003
XV;Bias;0.04045662443217238
XV;R2;-0.11600931438761108
XV;forecast_horizon;30.0
