empresa;MAPE;MAE;RMSE;sMAPE;R2;Bias;forecast_horizon
BB;8.06361403393444;0.06269384997323454;0.0778712074741178;7.822619555894792;-0.2316626065422862;0.008396934257486461;30.0
BG;18.47481232236485;0.11728454269106406;0.17837511343402154;19.388166643432694;-0.1269465516708319;0.04392868778504496;30.0
BZ;20.382019220972236;0.15380297860554762;0.2243484478919127;27.961419072552616;-0.1204640634092824;-0.00041709110117040666;30.0
CA;9.825636499238295;0.07440548207741272;0.12201241021829304;10.333355779495063;-0.19832808458049445;0.002822978838756945;30.0
JB;18.686128404669407;0.11949703954920696;0.17139229534163553;18.81593517921759;-0.2120501001007511;0.033103445906026235;30.0
JK;9.363886943141468;0.07222403158079788;0.08972237556639145;9.337156099215326;-0.30182789412893496;-0.008831455838710615;30.0
LD;17.726059499921025;0.10646105174587815;0.14327091311634135;15.352805063375127;-0.15089809051591185;0.012306658941191774;30.0
MA;20.40986596050104;0.12319407504292654;0.17033988834530903;19.989322978293895;-0.05264340685469482;0.030954142671457834;30.0
MT;14.627699223193916;0.11141484811150053;0.18148585657080138;17.894886533235148;-0.10689227415985614;0.04628083291427669;30.0
PB;7.052146752358961;0.05627354515551877;0.07148844390268919;6.808446234160441;-0.23878925277591834;0.01672022775173457;30.0
PO;11.491335158475682;0.0893010057484986;0.1254998580581334;12.312127189905086;-0.020772627514731967;-0.008086531849899223;30.0
TH;9.14272218018882;0.05797417638585921;0.08963930542641742;7.535747943995024;-0.18735950977588733;0.012686213427027599;30.0
XV;17.822006733755558;0.12503557913542157;0.19925586416974286;19.97444343128538;-0.08905371196815048;0.03724496259961934;30.0
