data;volume_historico
2024-07-28;
2024-07-29;577.0
2024-07-30;812.0
2024-07-31;1671.0
2024-08-01;540.0
2024-08-02;1365.0
2024-08-03;
2024-08-04;
2024-08-05;332.0
2024-08-06;2560.0
2024-08-07;1369.0
2024-08-08;437.0
2024-08-09;470.0
2024-08-10;
2024-08-11;
2024-08-12;846.0
2024-08-13;745.0
2024-08-14;455.0
2024-08-15;397.0
2024-08-16;2151.0
2024-08-17;
2024-08-18;
2024-08-19;841.0
2024-08-20;795.0
2024-08-21;1393.0
2024-08-22;1678.0
2024-08-23;1943.0
2024-08-24;
2024-08-25;
2024-08-26;506.0
2024-08-27;549.0
2024-08-28;1096.0
2024-08-29;1034.0
2024-08-30;4015.0
2024-08-31;
2024-09-01;
2024-09-02;911.0
2024-09-03;1192.0
2024-09-04;1122.0
2024-09-05;2269.0
2024-09-06;2799.0
2024-09-07;
2024-09-08;
2024-09-09;795.0
2024-09-10;874.0
2024-09-11;1937.0
2024-09-12;754.0
2024-09-13;1359.0
2024-09-14;
2024-09-15;
2024-09-16;1425.0
2024-09-17;1321.0
2024-09-18;1110.0
2024-09-19;1120.0
2024-09-20;619.0
2024-09-21;
2024-09-22;
2024-09-23;1332.0
2024-09-24;502.0
2024-09-25;846.0
2024-09-26;334.0
2024-09-27;596.0
2024-09-28;
2024-09-29;
2024-09-30;2363.0
2024-10-01;1615.0
2024-10-02;2433.0
2024-10-03;1666.0
2024-10-04;
2024-10-05;
2024-10-06;
2024-10-07;524.0
2024-10-08;195.0
2024-10-09;1084.0
2024-10-10;1249.0
2024-10-11;2209.0
2024-10-12;
2024-10-13;
2024-10-14;517.0
2024-10-15;1621.0
2024-10-16;3596.0
2024-10-17;1904.0
2024-10-18;1825.0
2024-10-19;
2024-10-20;
2024-10-21;663.0
2024-10-22;1204.0
2024-10-23;3358.0
2024-10-24;1896.0
2024-10-25;2261.0
2024-10-26;
2024-10-27;
2024-10-28;2594.0
2024-10-29;1349.0
2024-10-30;2598.0
2024-10-31;4042.999999999998
2024-11-01;500.0
2024-11-02;
2024-11-03;
2024-11-04;332.0
2024-11-05;1757.0
2024-11-06;3192.0
2024-11-07;2838.0
2024-11-08;4042.999999999998
2024-11-09;747.0
2024-11-10;
2024-11-11;2504.0
2024-11-12;2883.0
2024-11-13;2263.0
2024-11-14;1143.0
2024-11-15;
2024-11-16;
2024-11-17;
2024-11-18;2958.0
2024-11-19;2309.0
2024-11-20;5.0
2024-11-21;2616.0
2024-11-22;2589.0
2024-11-23;
2024-11-24;
2024-11-25;1386.0
2024-11-26;1247.0
2024-11-27;1750.0
2024-11-28;2009.0
2024-11-29;4042.999999999998
2024-11-30;
2024-12-01;
2024-12-02;231.0
2024-12-03;1048.0
2024-12-04;1953.0
2024-12-05;1103.0
2024-12-06;396.0
2024-12-07;
2024-12-08;
2024-12-09;1296.0
2024-12-10;2680.0
2024-12-11;3195.0
2024-12-12;3248.0
2024-12-13;4042.999999999998
2024-12-14;
2024-12-15;
2024-12-16;932.0
2024-12-17;1508.0
2024-12-18;1709.0
2024-12-19;1701.0
2024-12-20;650.0
2024-12-21;
2024-12-22;
2024-12-23;
2024-12-24;
2024-12-25;
2024-12-26;
2024-12-27;
2024-12-28;
2024-12-29;
2024-12-30;84.0
2024-12-31;
2025-01-01;
2025-01-02;
2025-01-03;
2025-01-04;
2025-01-05;
2025-01-06;-56.0
2025-01-07;-114.0
2025-01-08;-1.0
2025-01-09;-154.0
2025-01-10;201.0
2025-01-11;
2025-01-12;
2025-01-13;94.0
2025-01-14;391.0
2025-01-15;346.0
2025-01-16;342.0
2025-01-17;508.0
2025-01-18;
2025-01-19;
2025-01-20;408.0
2025-01-21;-19.0
2025-01-22;1034.0
2025-01-23;765.0
2025-01-24;2026.0
2025-01-25;
2025-01-26;
2025-01-27;861.0
2025-01-28;605.0
2025-01-29;1181.0
2025-01-30;751.0
2025-01-31;3380.0
2025-02-01;
2025-02-02;
2025-02-03;264.0
2025-02-04;2050.0
2025-02-05;985.0
2025-02-06;79.0
2025-02-07;522.0
2025-02-08;
2025-02-09;
2025-02-10;914.0
2025-02-11;869.0
2025-02-12;1280.0
2025-02-13;740.0
2025-02-14;608.0
2025-02-15;
2025-02-16;
2025-02-17;1330.0
2025-02-18;2002.0
2025-02-19;2752.0
2025-02-20;803.0
2025-02-21;1059.0
2025-02-22;
2025-02-23;
2025-02-24;1018.0
2025-02-25;667.0
2025-02-26;492.0
2025-02-27;685.0
2025-02-28;4042.999999999998
2025-03-01;
2025-03-02;
2025-03-03;
2025-03-04;
2025-03-05;1126.0
2025-03-06;679.0
2025-03-07;2002.0
2025-03-08;
2025-03-09;
2025-03-10;120.0
2025-03-11;401.0
2025-03-12;795.0
2025-03-13;2697.0
2025-03-14;1158.0
2025-03-15;
2025-03-16;
2025-03-17;-1284.0
2025-03-18;1567.0
2025-03-19;103.0
2025-03-20;1652.0
2025-03-21;1815.0
2025-03-22;
2025-03-23;
