data;volume_Quantidade
2025-09-28;1155.390395642633
2025-09-29;604.5510670572721
2025-09-30;858.8088765280609
2025-10-01;756.3753292694573
2025-10-02;1121.3115626017484
2025-10-03;1223.9516042159198
2025-10-04;345.32171615081506
2025-10-05;950.538195034876
2025-10-06;644.2904846575636
2025-10-07;546.1964403535849
2025-10-08;827.5273401321429
2025-10-09;1172.8901430651554
2025-10-10;1455.4412806356677
2025-10-11;932.9084677995702
2025-10-12;991.9089968727667
2025-10-13;674.7838671023037
2025-10-14;930.5838191739431
2025-10-15;568.9968028875194
2025-10-16;1019.9767915682378
2025-10-17;1836.251322053724
2025-10-18;1454.4420464480804
2025-10-19;1666.1028336095146
2025-10-20;1290.1747296812564
2025-10-21;1139.0757265553893
2025-10-22;1771.4905568398253
2025-10-23;1630.1770568471647
2025-10-24;1375.4215906165946
2025-10-25;1722.9973595370698
2025-10-26;1713.107689698662
2025-10-27;1108.4782746198825
