data;vendas_previstas;forecast_horizon
2025-10-06;48728.1104717188;90
2025-10-07;54339.03405066971;90
2025-10-08;51154.79027265454;90
2025-10-09;63044.278360080534;90
2025-10-10;45226.23532558042;90
2025-10-11;26892.932134751238;90
2025-10-12;27907.52030978277;90
2025-10-13;50823.96671612229;90
2025-10-14;41513.501951573664;90
2025-10-15;34979.8035152128;90
2025-10-16;54059.04406964865;90
2025-10-17;35133.9779530361;90
2025-10-18;28285.298654073864;90
2025-10-19;29811.484748734732;90
2025-10-20;51577.55187812793;90
2025-10-21;40652.30696970257;90
2025-10-22;35698.941900247046;90
2025-10-23;49227.428692321366;90
2025-10-24;35364.72402297756;90
2025-10-25;24188.852843078028;90
2025-10-26;23699.417832762145;90
2025-10-27;30815.13999142963;90
2025-10-28;32797.69729754897;90
2025-10-29;38458.15789003277;90
2025-10-30;35687.390807869386;90
2025-10-31;29701.03868651965;90
2025-11-01;33084.261549959716;90
2025-11-02;35020.88816022604;90
2025-11-03;44160.90719122776;90
2025-11-04;57294.70919693246;90
2025-11-05;69056.50439565716;90
2025-11-06;67461.2400276995;90
2025-11-07;55065.20083557542;90
2025-11-08;53633.01733187781;90
2025-11-09;48659.20138933092;90
2025-11-10;55331.80160129517;90
2025-11-11;46583.33201528753;90
2025-11-12;59073.247120889064;90
2025-11-13;55693.17927482736;90
2025-11-14;41038.16935978502;90
2025-11-15;24843.61708852486;90
2025-11-16;25273.890711494172;90
2025-11-17;33426.75472437233;90
2025-11-18;31979.372232644826;90
2025-11-19;36343.19308514435;90
2025-11-20;35507.07826604038;90
2025-11-21;37797.754194709116;90
2025-11-22;26403.617601539598;90
2025-11-23;28550.74444310512;90
2025-11-24;36915.18839991884;90
2025-11-25;42778.69947507826;90
2025-11-26;46734.790451110246;90
2025-11-27;56344.158459232305;90
2025-11-28;47631.24275735816;90
2025-11-29;37591.367798502506;90
2025-11-30;28799.49923016201;90
2025-12-01;51879.69002326055;90
2025-12-02;51332.06804733752;90
2025-12-03;48233.88182410619;90
2025-12-04;59747.73440018421;90
2025-12-05;64246.74927104759;90
2025-12-06;34777.866607444;90
2025-12-07;48827.266825219114;90
2025-12-08;61406.84527653381;90
2025-12-09;47286.38923541477;90
2025-12-10;46238.44449094963;90
2025-12-11;66758.5573307824;90
2025-12-12;63222.82720949866;90
2025-12-13;38905.44784905101;90
2025-12-14;36813.42449283814;90
2025-12-15;35699.959692042656;90
2025-12-16;33500.61173139417;90
2025-12-17;32897.35261933728;90
2025-12-18;34309.62732057053;90
2025-12-19;31046.706524793957;90
2025-12-20;20173.34528783477;90
2025-12-21;21616.77515580097;90
2025-12-22;23809.509719187758;90
2025-12-23;20741.771268921766;90
2025-12-24;31217.91622174059;90
2025-12-25;36886.57535493879;90
2025-12-26;23172.607047889112;90
2025-12-27;19925.500926733264;90
2025-12-28;28104.710488243887;90
2025-12-29;29692.264237900057;90
2025-12-30;25017.793381857296;90
2025-12-31;31204.118876915705;90
2026-01-01;38469.98094567295;90
2026-01-02;43282.8814408719;90
2026-01-03;45702.751555268114;90
