data;volume_Quantidade
2025-09-27;111.5590186256837
2025-09-28;47.25466442606515
2025-09-29;8.257969825249063
2025-09-30;124.02228868069253
2025-10-01;74.85231580875632
2025-10-02;39.01917662254934
2025-10-03;43.93856559374848
2025-10-04;47.078910658042474
2025-10-05;36.543453066154
2025-10-06;1.6410576455978259
2025-10-07;17.446899100141408
2025-10-08;36.173269254962634
2025-10-09;62.48166359192052
2025-10-10;97.13519999510345
2025-10-11;130.43888620265813
2025-10-12;109.73551261141554
2025-10-13;73.62977964671953
2025-10-14;87.75401860215425
2025-10-15;38.53285277809937
2025-10-16;84.14425761547005
2025-10-17;51.726764986733286
2025-10-18;75.51469766602082
2025-10-19;85.04060098843206
2025-10-20;68.1394196988224
2025-10-21;94.41697723927217
2025-10-22;121.4352790159883
2025-10-23;77.89287311111443
2025-10-24;51.37787888879285
2025-10-25;71.81582962587123
2025-10-26;35.37744466743736
