model;MAPE;MAE;RMSE;sMAPE;Bias;R2
lightgbm;3.508824517182249;0.07345117983734306;0.22495281041445112;71.76139165174676;0.049242910507213584;0.7030647513373438
autoarima;36.023389696944875;0.39497665115619224;0.4133229781213193;97.75969566147388;-0.016260649046393277;-0.0024391238516696667
nhits;29.324815719666375;0.26642438033404486;0.3193600192257113;93.76923449280662;-0.06481373736149519;0.40153328687858125
nbeats;8.291140740908867;0.15548704068510233;0.26153651361359054;74.24989756043479;0.13432968727805314;0.5986312383008048
tft;13.732130562029523;0.1323967653096518;0.27512661659325;80.93772173539169;0.03134059690139586;0.5558352149895918
