model;MAPE;MAE;RMSE;sMAPE;Bias;R2
lightgbm;2.658483116754338;0.02219639350567504;0.0411782912091657;2.606875063249065;-0.006207657470656451;0.7693345695563838
autoarima;8.577321519287977;0.0722597542956967;0.08750222396221126;8.432689585841699;-0.024740417232239895;-0.041559425737856426
nhits;9.966897774789565;0.08658584572350003;0.10048237611939578;10.12639733701391;-0.047766858272705215;-0.37349051206392936
nbeats;6.973939281379665;0.05544564177301734;0.07813713497521575;6.4945327714526035;0.03604166941796358;0.16945945756422165
tft;5.755573445289386;0.048762611743905566;0.06580899244409204;5.677977145935844;-0.004085553803552248;0.4108629247464213
