data;vendas_previstas;forecast_horizon
2025-09-28;25228.731669738692;30
2025-09-29;161495.42493381578;30
2025-09-30;165112.20679255645;30
2025-10-01;123312.46706250765;30
2025-10-02;100622.60386394052;30
2025-10-03;94644.08179317672;30
2025-10-04;76197.28424997332;30
2025-10-05;11656.691122552249;30
2025-10-06;90848.4647737077;30
2025-10-07;80558.97827718194;30
2025-10-08;71628.26287709642;30
2025-10-09;72251.10173061713;30
2025-10-10;102830.85106821693;30
2025-10-11;74771.55205903499;30
2025-10-12;12066.519448492936;30
2025-10-13;84508.78993802486;30
2025-10-14;69049.52752944294;30
2025-10-15;68906.91701432213;30
2025-10-16;63651.141753184806;30
2025-10-17;79573.71902477885;30
2025-10-18;61736.854044135616;30
2025-10-19;10074.164747679628;30
2025-10-20;67170.38870890015;30
2025-10-21;65604.5286179373;30
2025-10-22;58867.80046449047;30
2025-10-23;66371.72549902291;30
2025-10-24;82189.37490515469;30
2025-10-25;59495.18211162246;30
2025-10-26;11512.847442646873;30
2025-10-27;73771.34442062215;30
