data;vendas
2024-06-22;1397788.0
2024-06-23;125.0
2024-06-24;7071.6
2024-06-25;180.0
2024-06-26;54411.2
2024-06-27;5130.6
2024-06-28;45.0
2024-06-29;1940.0
2024-07-02;93876.49
2024-07-03;980.0
2024-07-04;122325.11
2024-07-05;73475.15
2024-07-06;171062.8
2024-07-08;110388.0
2024-07-09;125.0
2024-07-10;112789.0
2024-07-11;101120.0
2024-07-12;156955.0
2024-07-13;119073.52
2024-07-15;364692.0
2024-07-16;200192.91
2024-07-17;3675.0
2024-07-18;38524.75
2024-07-19;104307.0
2024-07-20;24981.28
2024-07-21;120.0
2024-07-22;50798.0
2024-07-23;495.0
2024-07-24;2140.0
2024-07-25;304771.02
2024-07-26;322613.4
2024-07-27;8711.48
2024-07-28;8159.0
2024-07-29;41562.0
2024-07-30;18480.0
2024-07-31;684.0
2024-08-01;219953.3
2024-08-02;4121856.2
2024-08-03;409751.15
2024-08-04;50.0
2024-08-05;290260.0
2024-08-06;41690.0
2024-08-07;250355.0
2024-08-08;3330.83
2024-08-09;83285.32
2024-08-10;162386.0
2024-08-12;429965.0
2024-08-13;138903.0
2024-08-15;35718.0
2024-08-16;99647.42
2024-08-17;25670.0
2024-08-18;75323.0
2024-08-19;879.0
2024-08-20;85830.66
2024-08-21;53802.0
2024-08-22;14465.45
2024-08-23;46333.0
2024-08-24;60.0
2024-08-25;5077.73
2024-08-26;103485.0
2024-08-27;24705.0
2024-08-28;45.0
2024-08-29;19035.4
2024-08-30;14264.0
2024-08-31;48015.75
2024-09-01;124200.0
2024-09-02;70633.0
2024-09-03;194155.0
2024-09-04;329895.0
2024-09-05;142473.0
2024-09-06;101128.0
2024-09-08;17990.0
2024-09-09;153824.6
2024-09-10;57390.0
2024-09-11;68371.51
2024-09-12;45538.0
2024-09-13;123300.0
2024-09-14;50101.0
2024-09-15;14745.0
2024-09-16;199943.6
2024-09-17;35106.0
2024-09-18;980.0
2024-09-19;115825.0
2024-09-20;9900.0
2024-09-21;266403.2
2024-09-23;124514.14
2024-09-24;35960.0
2024-09-25;3492.0
2024-09-27;117108.9
2024-09-28;60.0
2024-09-30;1085165.0
2024-10-01;325435.0
2024-10-02;50.0
2024-10-03;2880.0
2024-10-04;45118.0
2024-10-05;43538.0
2024-10-07;159808.0
2024-10-08;72100.29
2024-10-10;3386.0
2024-10-11;2220500.0
2024-10-13;68763.0
2024-10-14;98151.9
2024-10-15;4035.0
2024-10-16;122182.41
2024-10-17;117953.2
2024-10-18;370525.0
2024-10-19;789.0
2024-10-21;241167.4
2024-10-23;10612.0
2024-10-24;1654211.0
2024-10-25;180.0
2024-10-26;322978.0
2024-10-27;22230.0
2024-10-28;33020.2
2024-10-29;152135.0
2024-10-30;9726.0
2024-10-31;69849.2
2024-11-01;125127.0
2024-11-04;106167.2
2024-11-05;172857.0
2024-11-06;301475.0
2024-11-07;628170.5
2024-11-08;333251.0
2024-11-09;21030.0
2024-11-10;70565.0
2024-11-11;39374.0
2024-11-12;584.0
2024-11-13;3095.0
2024-11-14;86961.7
2024-11-16;31614.95
2024-11-17;51807.0
2024-11-18;122386.0
2024-11-19;71189.0
2024-11-20;217805.0
2024-11-21;1376933.0
2024-11-22;874315.0
2024-11-23;341671.0
2024-11-24;734.0
2024-11-25;135.0
2024-11-26;453267.05
2024-11-27;391897.35
2024-11-28;154420.0
2024-11-29;159480.97
2024-11-30;176128.75
2024-12-01;26613.0
2024-12-02;37775.0
2024-12-03;26838.7
2024-12-04;130748.4
2024-12-05;95800.0
2024-12-06;176660.1
2024-12-07;119232.25
2024-12-08;13770.0
2024-12-09;1193324.0
2024-12-10;83033.85
2024-12-11;84178.0
2024-12-12;1300780.8
2024-12-13;1069686.15
2024-12-14;2126846.5
2024-12-15;16704.8
2024-12-16;428781.2
2024-12-17;134650.6
2024-12-18;465795.0
2024-12-19;2417632.0
2024-12-20;481804.45
2024-12-21;179340.1
2024-12-22;124075.65
2024-12-23;682819.8
2024-12-24;933511.66
2024-12-26;99351.7
2024-12-27;412438.0
2024-12-28;98779.5
2024-12-30;53538.6
2024-12-31;174311.5
2025-01-02;14695.0
2025-01-03;501490.0
2025-01-04;33794.0
2025-01-05;31970.0
2025-01-06;51642.89
2025-01-07;259.7
2025-01-08;665.2
2025-01-11;119072.7
2025-01-12;29619.0
2025-01-13;75679.0
2025-01-14;4700.0
2025-01-15;543670.0
2025-01-16;33646.42
2025-01-17;80620.6
2025-01-18;42476.4
2025-01-19;62546.0
2025-01-20;109673.9
2025-01-22;16517.3
2025-01-23;78392.38
2025-01-24;3490.0
2025-01-25;20263.1
2025-01-27;13730.0
2025-01-28;61690.4
2025-01-29;52724.0
2025-01-30;62479.9
2025-01-31;352310.3
2025-02-01;33973.5
2025-02-02;1630.0
2025-02-03;4070.6
2025-02-04;32894.2
2025-02-05;45682.02
2025-02-06;530.0
2025-02-07;32612.0
2025-02-08;28925.0
2025-02-09;143730.0
2025-02-10;53590.0
2025-02-11;152396.25
2025-02-12;74659.0
2025-02-13;90331.0
2025-02-14;127835.0
2025-02-15;530748.8
2025-02-16;242860.0
2025-02-17;145158.41
2025-02-18;24399.0
2025-02-19;54899.0
2025-02-20;4068.0
2025-02-21;81795.0
2025-02-22;97461.0
2025-02-25;82844.0
2025-02-26;9408.85
2025-02-27;32710.0
2025-02-28;208463.24
2025-03-03;75247.15
2025-03-04;401148.6
2025-03-05;25480.0
2025-03-06;1498.0
