data;Quantidade
2025-02-12;1280
2025-02-13;740
2025-02-14;608
2025-02-17;1330
2025-02-18;2002
2025-02-19;2752
2025-02-20;803
2025-02-21;1059
2025-02-24;1018
2025-02-25;667
2025-02-26;492
2025-02-27;685
2025-02-28;4223
2025-03-05;1126
2025-03-06;679
2025-03-07;2002
2025-03-10;120
2025-03-11;401
2025-03-12;795
2025-03-13;2697
2025-03-14;1158
2025-03-17;-1284
2025-03-18;1567
2025-03-19;103
2025-03-20;1652
2025-03-21;1815
2025-03-24;1050
2025-03-25;2084
2025-03-26;1962
2025-03-27;4164
2025-03-28;2611
2025-03-29;88
2025-03-31;2688
2025-04-01;59
2025-04-02;180
2025-04-03;236
2025-04-04;2074
2025-04-07;720
2025-04-08;902
2025-04-09;1494
2025-04-10;1275
2025-04-11;2269
2025-04-14;674
2025-04-15;960
2025-04-16;835
2025-04-17;1273
2025-04-22;839
2025-04-23;1409
2025-04-24;2019
2025-04-25;4168
2025-04-28;981
2025-04-29;1990
2025-04-30;4652
2025-05-02;774
2025-05-05;1793
2025-05-06;1264
2025-05-07;2127
2025-05-08;3114
2025-05-09;4382
2025-05-12;1601
2025-05-13;3030
2025-05-14;1412
2025-05-15;1526
2025-05-16;999
2025-05-19;709
2025-05-20;1288
2025-05-21;3172
2025-05-22;1798
2025-05-23;2582
2025-05-26;4085
2025-05-27;1712
2025-05-28;3699
2025-05-29;4468
2025-05-30;9960
2025-05-31;2813
2025-06-02;3101
2025-06-03;4143
2025-06-04;1027
2025-06-05;4232
2025-06-06;4277
2025-06-09;565
2025-06-10;624
2025-06-11;656
2025-06-12;242
2025-06-13;381
2025-06-16;246
2025-06-17;330
2025-06-18;129
2025-06-23;190
2025-06-24;455
2025-06-25;727
2025-06-26;352
2025-06-27;853
2025-06-30;4153
2025-07-02;493
2025-07-03;238
2025-07-04;809
2025-07-07;51
2025-07-08;991
2025-07-10;407
2025-07-11;1660
2025-07-14;1468
2025-07-15;968
2025-07-16;398
2025-07-17;2153
2025-07-18;1895
2025-07-21;2272
2025-07-22;1480
2025-07-23;428
2025-07-24;806
2025-07-25;2527
2025-07-28;175
2025-07-29;1960
2025-07-30;1435
2025-07-31;2367
2025-08-01;388
2025-08-04;193
2025-08-05;668
2025-08-06;778
2025-08-07;774
2025-08-08;896
2025-08-11;111
2025-08-12;955
2025-08-13;3514
2025-08-14;823
2025-08-15;2004
2025-08-18;239
2025-08-19;923
2025-08-20;719
2025-08-21;745
2025-08-22;3080
2025-08-25;630
2025-08-26;969
2025-08-27;844
2025-08-28;1456
2025-08-29;3838
2025-09-01;487
2025-09-02;826
2025-09-03;389
2025-09-04;1189
2025-09-05;767
2025-09-08;820
2025-09-09;956
2025-09-10;944
2025-09-11;1058
2025-09-12;2854
2025-09-15;837
2025-09-16;525
2025-09-17;897
2025-09-18;916
2025-09-19;1467
2025-09-22;1547
2025-09-23;653
2025-09-24;421
2025-09-25;1840
2025-09-26;1647
2025-09-27;14
2025-09-29;1904
2025-09-30;3998
2025-10-01;-7
2025-10-02;-174
2025-10-03;731
