data;volume_Quantidade
2025-09-28;3.227657393171997
2025-09-29;3.3113438898569973
2025-09-30;4.968737817710754
2025-10-01;5.118425310319365
2025-10-02;6.248631448640386
2025-10-03;9.826993718746847
2025-10-04;5.296767040612564
2025-10-05;3.1344514902055027
2025-10-06;5.580194382914444
2025-10-07;4.844105528326194
2025-10-08;8.17172441671558
2025-10-09;3.8639326240267375
2025-10-10;4.817714633005466
2025-10-11;6.061986782505257
2025-10-12;3.9493000573945927
2025-10-13;7.929148796771133
2025-10-14;6.698856635985321
2025-10-15;7.950522085155084
2025-10-16;4.991487341586442
2025-10-17;3.744901621448438
2025-10-18;5.90328593610947
2025-10-19;2.2564121739717304
2025-10-20;3.868753278202601
2025-10-21;5.211657119590614
2025-10-22;7.373720195376473
2025-10-23;5.7139918287527784
2025-10-24;4.9836885598121885
2025-10-25;3.6846332383915015
2025-10-26;4.778540387272568
2025-10-27;4.72793248622471
