model;MAPE;MAE;RMSE;sMAPE;Bias;R2
lightgbm;1.854519099119515;0.016610127125866164;0.026036196250807653;1.858534894167256;-0.004175162764495192;0.6807884035401427
autoarima;4.099307671772646;0.03664028632025419;0.046848862740724584;4.091867956078717;-0.008441797957321012;-0.03352668187689223
nhits;4.78374105614284;0.04305755237794293;0.05412807299332098;4.8377057005665645;-0.020932723742080814;-0.37964934647988535
nbeats;3.8110257579872298;0.03376084431203404;0.043502190053864624;3.769619752319747;0.0026937916625406426;0.10886022117541327
tft;4.292782662025458;0.03840556989054899;0.04968043285855788;4.275956719401335;-0.0006643963043199141;-0.1622360164070238
