data;vendas_previstas;forecast_horizon
2025-09-28;13243.646753358713;30
2025-09-29;41532.78913664342;30
2025-09-30;21729.509950935124;30
2025-10-01;23989.507944907073;30
2025-10-02;22508.102799446307;30
2025-10-03;34280.08493821451;30
2025-10-04;30640.686402151703;30
2025-10-05;14307.956324205767;30
2025-10-06;46582.71741948722;30
2025-10-07;25007.534633488496;30
2025-10-08;24313.20978199721;30
2025-10-09;28657.736708803488;30
2025-10-10;32610.273769525524;30
2025-10-11;31092.744372541216;30
2025-10-12;10784.40250297456;30
2025-10-13;48353.42577015572;30
2025-10-14;25599.411862716453;30
2025-10-15;28073.808690112164;30
2025-10-16;25881.11514949047;30
2025-10-17;32751.022920811334;30
2025-10-18;28839.295328611242;30
2025-10-19;12443.428321152995;30
2025-10-20;44444.0725020739;30
2025-10-21;23671.689629044413;30
2025-10-22;26147.055126614116;30
2025-10-23;24284.421647186326;30
2025-10-24;31741.271761935295;30
2025-10-25;26961.222847693447;30
2025-10-26;12063.658081949732;30
2025-10-27;41399.461095033184;30
