database;status;mape;r2;mae;forecast_total;quality
005ATS_ERP_BI;SUCCESS;12.700969466689196;0.47956525972064135;0.14261226567596988;1331968.393975908;🟡
005NO_ERP_BI;SUCCESS;3.9659530900490605;0.21621410989607215;0.04261961901149089;1229505.902384098;🟢
005RG_ERP_BI;SUCCESS;4.187715284481338;0.7366699725372021;0.06765224115713636;10710623.066668766;🟢
006GF_BI;SUCCESS;2.6898039155907347;0.7535994579878034;0.023010305338165737;1825377.991918756;🟢
007BE_ERP_BI;SUCCESS;2.272661797498968;0.5725897931699606;0.020135539436966554;12995761.946569942;🟢
008GT_BI;SUCCESS;2.9897126361326753;0.6955468002419029;0.024180513240485865;2082873.5649544843;🟢
012ARR_ERP_BI;SUCCESS;21.449808444447775;0.3007157477750203;0.15606701067769113;987363.6806129527;🟡
012DIPUA_ERP_BI;SUCCESS;1.4194690771544287;0.1793444049457692;0.018249304366511714;806098.4849755387;🟢
013BW_ERP_BI;SUCCESS;13.106212241917788;0.5385406395859227;0.10991497659573776;3374144.7253470086;🟢
013CRO_ERP_BI;SUCCESS;5.34027433735496;0.7816479821102685;0.06359685082103056;2091123.9953387585;🟢
014CST_ERP_BI;SUCCESS;9.562053252065539;0.21917479348241564;0.09447684353906385;1448757.4507575054;🟡
014CST_IJC_BI;SUCCESS;25.23585075777484;-0.048152488435282415;0.30732839035751275;173766.62924873718;🟠
014PR_ERP_BI;SUCCESS;8.062711429530296;0.3513630875635113;0.06817567490153427;3614418.252274092;🟡
014ZI_ERP_BI;SUCCESS;4.962776157094459;-0.03334442886368438;0.07874906200766484;1233962.6234727427;🟢
