database;status;companies_processed;avg_mape;avg_r2;best_mape;worst_mape;quality
005ATS_ERP_BI;SUCCESS;1;18.479144818995522;-0.13599072084025732;18.479144818995522;18.479144818995522;🟠
005NO_ERP_BI;SUCCESS;5;17.289136887856476;-0.17918442782329067;10.639096535258014;26.0698840375335;🟠
005RG_ERP_BI;SUCCESS;1;12.953405449308027;-0.1636281432943767;12.953405449308027;12.953405449308027;🟡
006GF_BI;SUCCESS;8;11.078518713960094;-0.4914186134680979;6.679866547165134;19.907592362608256;🟡
007BE_ERP_BI;SUCCESS;13;14.08214868713198;-0.1567452441536717;7.052146752358961;20.40986596050104;🟡
008GT_BI;SUCCESS;3;19.294571095894245;-0.24425427411781428;8.880012138050938;39.76511672202171;🟠
012ARR_ERP_BI;SUCCESS;1;39.66208703159723;-0.17973772491232998;39.66208703159723;39.66208703159723;🔴
012DIPUA_ERP_BI;SUCCESS;5;13.838263898095502;-0.16614006140723694;4.982855040617889;33.626077760289675;🟡
013BW_ERP_BI;SUCCESS;2;27.914780452769016;-0.2811575250993853;11.426408008813361;44.40315289672467;🟠
013CRO_ERP_BI;SUCCESS;2;11.605383384630102;-0.22944878417218617;8.03822972579296;15.172537043467244;🟡
014CST_ERP_BI;SUCCESS;1;18.411201875180282;-0.37214391086140886;18.411201875180282;18.411201875180282;🟠
014CST_IJC_BI;SUCCESS;1;14.845035278629707;-1.3314755503802385;14.845035278629707;14.845035278629707;🟡
014PR_ERP_BI;SUCCESS;3;35.37656998959733;-0.4903926817685414;22.33561809517606;57.584435107774105;🔴
014ZI_ERP_BI;SUCCESS;5;512.0393030780547;-0.24158246131050715;6.289726475168484;2420.4721265018607;🔴
