data;volume_Quantidade
2025-10-04;179.021285613175
2025-10-05;19.994103966940116
2025-10-06;181.8003949828901
2025-10-07;87.94216096110337
2025-10-08;137.30285834803055
2025-10-09;150.35134909871834
2025-10-10;170.86530209229505
2025-10-11;115.72023663947124
2025-10-12;21.049863628682377
2025-10-13;146.144639728206
2025-10-14;152.38674663339225
2025-10-15;214.07143585957132
2025-10-16;151.0208908688563
2025-10-17;170.7627013870826
2025-10-18;122.42922002138974
2025-10-19;14.467879821326642
2025-10-20;161.1791406090536
2025-10-21;147.74656644744974
2025-10-22;144.65740444699094
2025-10-23;135.92421054166516
2025-10-24;142.0214711213114
2025-10-25;143.59065312391948
2025-10-26;26.9508181686782
2025-10-27;78.21046363759918
2025-10-28;145.21575570179348
2025-10-29;197.4577994516073
2025-10-30;144.67226616341966
2025-10-31;118.85855470330503
2025-11-01;59.249321219441896
2025-11-02;24.42152794448517
