data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-08-29;73250.0;historico;0;73250.0
2025-08-30;155160.0;historico;0;228410.0
2025-08-31;0.0;historico;0;228410.0
2025-09-01;375424.0;historico;0;603834.0
2025-09-02;10260.0;historico;0;614094.0
2025-09-03;71250.0;historico;0;685344.0
2025-09-04;1.0;historico;0;685345.0
2025-09-05;85000.0;historico;0;770345.0
2025-09-06;84455.0;historico;0;854800.0
2025-09-07;0.0;historico;0;854800.0
2025-09-08;91390.0;historico;0;946190.0
2025-09-09;581846.0;historico;0;1528036.0
2025-09-10;0.0;historico;0;1528036.0
2025-09-11;399329.98;historico;0;1927365.98
2025-09-12;102875.0;historico;0;2030240.98
2025-09-13;25380.0;historico;0;2055620.98
2025-09-14;0.0;historico;0;2055620.98
2025-09-15;96360.0;historico;0;2151980.98
2025-09-16;4150.0;historico;0;2156130.98
2025-09-17;82135.0;historico;0;2238265.98
2025-09-18;51200.0;historico;0;2289465.98
2025-09-19;72110.0;historico;0;2361575.98
2025-09-20;25796.0;historico;0;2387371.98
2025-09-21;450.0;historico;0;2387821.98
2025-09-22;22250.0;historico;0;2410071.98
2025-09-23;89571.0;historico;0;2499642.98
2025-09-24;325250.0;historico;0;2824892.98
2025-09-25;85900.0;historico;0;2910792.98
2025-09-26;7700.0;historico;0;2918492.98
2025-09-27;87430.0;historico;0;3005922.98
2025-09-28;0.0;historico;0;3005922.98
2025-09-29;19727.12745841451;previsao;30;3025650.1074584145
2025-09-29;19727.12745841451;previsao;90;3025650.1074584145
2025-09-29;19727.12745841451;previsao;60;3025650.1074584145
2025-09-30;46354.5940679198;previsao;30;3072004.7015263345
2025-09-30;46354.5940679198;previsao;90;3072004.7015263345
2025-09-30;46354.5940679198;previsao;60;3072004.7015263345
2025-10-01;37333.96245993682;previsao;90;3109338.6639862712
2025-10-01;37333.96245993682;previsao;30;3109338.6639862712
2025-10-01;37333.96245993682;previsao;60;3109338.6639862712
2025-10-02;30759.72047392809;previsao;60;3140098.384460199
2025-10-02;30759.72047392809;previsao;30;3140098.384460199
2025-10-02;30759.72047392809;previsao;90;3140098.384460199
2025-10-03;14667.62892313268;previsao;60;3154766.0133833317
2025-10-03;14667.62892313268;previsao;90;3154766.0133833317
2025-10-03;14667.62892313268;previsao;30;3154766.0133833317
2025-10-04;8087.277689309969;previsao;30;3162853.2910726415
2025-10-04;8087.277689309969;previsao;60;3162853.2910726415
2025-10-04;8087.277689309969;previsao;90;3162853.2910726415
2025-10-05;323.0157895670715;previsao;60;3163176.3068622085
2025-10-05;323.0157895670715;previsao;90;3163176.3068622085
2025-10-05;323.0157895670715;previsao;30;3163176.3068622085
2025-10-06;13581.24726632458;previsao;60;3176757.554128533
2025-10-06;13581.24726632458;previsao;30;3176757.554128533
2025-10-06;13581.24726632458;previsao;90;3176757.554128533
2025-10-07;41484.33488125286;previsao;90;3218241.8890097863
2025-10-07;41484.33488125286;previsao;60;3218241.8890097863
2025-10-07;41484.33488125286;previsao;30;3218241.8890097863
2025-10-08;40948.000226043085;previsao;90;3259189.8892358295
2025-10-08;40948.000226043085;previsao;30;3259189.8892358295
2025-10-08;40948.000226043085;previsao;60;3259189.8892358295
2025-10-09;33370.28648312367;previsao;30;3292560.1757189534
2025-10-09;33370.28648312367;previsao;90;3292560.1757189534
2025-10-09;33370.28648312367;previsao;60;3292560.1757189534
2025-10-10;19841.63317835804;previsao;90;3312401.8088973113
2025-10-10;19841.63317835804;previsao;30;3312401.8088973113
2025-10-10;19841.63317835804;previsao;60;3312401.8088973113
2025-10-11;56495.95413929405;previsao;90;3368897.7630366054
2025-10-11;56495.95413929405;previsao;30;3368897.7630366054
2025-10-11;56495.95413929405;previsao;60;3368897.7630366054
2025-10-12;260.47538105470795;previsao;90;3369158.2384176604
2025-10-12;260.47538105470795;previsao;60;3369158.2384176604
2025-10-12;260.47538105470795;previsao;30;3369158.2384176604
2025-10-13;42052.04335482609;previsao;30;3411210.2817724864
2025-10-13;42052.04335482609;previsao;60;3411210.2817724864
2025-10-13;42052.04335482609;previsao;90;3411210.2817724864
2025-10-14;55626.06972579598;previsao;60;3466836.3514982825
2025-10-14;55626.06972579598;previsao;30;3466836.3514982825
2025-10-14;55626.06972579598;previsao;90;3466836.3514982825
2025-10-15;56020.44541606298;previsao;30;3522856.7969143456
2025-10-15;56020.44541606298;previsao;60;3522856.7969143456
2025-10-15;56020.44541606298;previsao;90;3522856.7969143456
2025-10-16;51521.58008092284;previsao;30;3574378.3769952683
2025-10-16;51521.58008092284;previsao;60;3574378.3769952683
2025-10-16;51521.58008092284;previsao;90;3574378.3769952683
2025-10-17;48084.39074888856;previsao;60;3622462.767744157
2025-10-17;48084.39074888856;previsao;90;3622462.767744157
2025-10-17;48084.39074888856;previsao;30;3622462.767744157
2025-10-18;14843.87916230759;previsao;30;3637306.6469064644
2025-10-18;14843.87916230759;previsao;60;3637306.6469064644
2025-10-18;14843.87916230759;previsao;90;3637306.6469064644
2025-10-19;382.19482266954833;previsao;30;3637688.841729134
2025-10-19;382.19482266954833;previsao;90;3637688.841729134
2025-10-19;382.19482266954833;previsao;60;3637688.841729134
2025-10-20;23195.59382627525;previsao;60;3660884.435555409
2025-10-20;23195.59382627525;previsao;90;3660884.435555409
2025-10-20;23195.59382627525;previsao;30;3660884.435555409
2025-10-21;79569.41377048219;previsao;90;3740453.8493258916
2025-10-21;79569.41377048219;previsao;30;3740453.8493258916
2025-10-21;79569.41377048219;previsao;60;3740453.8493258916
