data;vendas_previstas;forecast_horizon
2025-10-04;7876.866775458123;60
2025-10-05;285.03772729038747;60
2025-10-06;17587.459025143668;60
2025-10-07;26306.24590297896;60
2025-10-08;55532.71518241262;60
2025-10-09;39447.19076312393;60
2025-10-10;24693.55362543674;60
2025-10-11;37965.98163963265;60
2025-10-12;408.68840207799605;60
2025-10-13;61001.249661859874;60
2025-10-14;31913.17868606393;60
2025-10-15;77727.17945253414;60
2025-10-16;67869.79342765459;60
2025-10-17;53066.91425991361;60
2025-10-18;25263.24687483574;60
2025-10-19;257.0425746132769;60
2025-10-20;36116.11865069247;60
2025-10-21;107009.0497945278;60
2025-10-22;8953.301738302525;60
2025-10-23;34463.761783535076;60
2025-10-24;32057.245087854353;60
2025-10-25;31397.548272115087;60
2025-10-26;307.87261911457466;60
2025-10-27;24328.29066411881;60
2025-10-28;17841.828213022243;60
2025-10-29;19176.969735652492;60
2025-10-30;16530.655259551506;60
2025-10-31;33162.58523251674;60
2025-11-01;15487.038610684569;60
2025-11-02;141.835903507614;60
2025-11-03;31939.55844685639;60
2025-11-04;32304.12298478321;60
2025-11-05;9067.809977746569;60
2025-11-06;37545.78119957423;60
2025-11-07;41536.16875622365;60
2025-11-08;15896.744509588363;60
2025-11-09;775.0055945842787;60
2025-11-10;25207.03075201384;60
2025-11-11;77727.54227786124;60
2025-11-12;22692.86585198853;60
2025-11-13;30497.62455597106;60
2025-11-14;65240.12494252535;60
2025-11-15;7202.1899496001015;60
2025-11-16;641.0997821430401;60
2025-11-17;39139.610561004636;60
2025-11-18;49910.99269910135;60
2025-11-19;27476.031123606015;60
2025-11-20;131321.26292124254;60
2025-11-21;60642.92418642563;60
2025-11-22;20132.104750022303;60
2025-11-23;745.6373249056828;60
2025-11-24;24610.918417657107;60
2025-11-25;32818.28335736571;60
2025-11-26;39258.32673342115;60
2025-11-27;29053.217350449315;60
2025-11-28;55413.0293732088;60
2025-11-29;27644.961587820882;60
2025-11-30;562.8070054999813;60
2025-12-01;7109.964335756962;60
2025-12-02;63374.99946522833;60
